Part (English),Peça (Português BR),Preço Estimado (BRL),Tempo Estimado de Substituição (minutos)
1.0 TSI I3 Engine,Motor 1.0 TSI 3 Cilindros,"R$ 15.000,00",720
6-Speed Manual Transmission,Câmbio Manual de 6 Marchas,"R$ 7.500,00",420
Downturned Single Exhaust Exit,Saída de Escapamento Simples Curvada,"R$ 350,00",38
Driver Seat,Banco do Motorista,"R$ 2.800,00",75
Exhaust,Sistema de Escapamento,"R$ 1.800,00",150
Front Bumper,Para-choque Dianteiro,"R$ 1.700,00",90
Front Half Shafts,Semieixos Dianteiros (par),"R$ 1.600,00",150
Front Left Door,Porta Dianteira Esquerda,"R$ 3.500,00",150
Front Left Door Glass,Vidro da Porta Dianteira Esquerda,"R$ 450,00",75
Front Left Fender,Para-lama Dianteiro Esquerdo,"R$ 800,00",90
Front Right Door,Porta Dianteira Direita,"R$ 3.500,00",150
Front Right Door Glass,Vidro da Porta Dianteira Direita,"R$ 450,00",75
Front Right Fender,Para-lama Dianteiro Direito,"R$ 800,00",90
Front Spindles,Mangas de Eixo Dianteiras (par),"R$ 1.200,00",150
Front Struts,Amortecedores Dianteiros (par),"R$ 1.400,00",120
Front Sway Bar,Barra Estabilizadora Dianteira,"R$ 450,00",75
Gasoline Fuel Tank,Tanque de Combustível (Gasolina/Flex),"R$ 2.200,00",150
Halogen Left Headlight,Farol Halógeno Esquerdo,"R$ 1.500,00",38
Halogen Right Headlight,Farol Halógeno Direito,"R$ 1.500,00",38
Independent Front Suspension,Suspensão Dianteira Independente (conjunto),"R$ 4.500,00",300
Interior,Revestimento Interno (conjunto),"R$ 8.000,00",1200
Left DRL only,Luz Diurna Esquerda (DRL),"R$ 600,00",30
Left Mirror,Retrovisor Esquerdo,"R$ 550,00",38
Left Taillight,Lanterna Traseira Esquerda,"R$ 950,00",23
Manual Shifter,Alavanca de Câmbio Manual,"R$ 400,00",75
Open Front Differential,Diferencial Dianteiro Aberto,"R$ 3.000,00",360
Parcel Shelf,Tampão do Porta-malas,"R$ 350,00",2
Passenger Seat,Banco do Passageiro,"R$ 2.500,00",75
Radiator,Radiador,"R$ 900,00",120
Rear Left Door,Porta Traseira Esquerda,"R$ 3.200,00",150
Rear Left Door Glass,Vidro da Porta Traseira Esquerda,"R$ 400,00",75
Rear Right Door,Porta Traseira Direita,"R$ 3.200,00",150
Rear Right Door Glass,Vidro da Porta Traseira Direita,"R$ 400,00",75
Rear Seats,Banco Traseiro (conjunto),"R$ 2.000,00",45
Rear Shocks,Amortecedores Traseiros (par),"R$ 800,00",75
Rear Spindles,Mangas de Eixo Traseiras (par),"R$ 900,00",150
Rear Springs,Molas Traseiras (par),"R$ 600,00",105
Right DRL only,Luz Diurna Direita (DRL),"R$ 600,00",30
Right Mirror,Retrovisor Direito,"R$ 550,00",38
Right Taillight,Lanterna Traseira Direita,"R$ 950,00",23
Steering,Sistema de Direção (caixa de direção),"R$ 3.500,00",240
Stock Engine Mounts,Coxins do Motor Originais (conjunto),"R$ 900,00",120
Stock Turbocharger,Turbocompressor Original,"R$ 4.300,00",150
T-Cross Hood,Capô do T-Cross,"R$ 2.500,00",45
T-Cross Rear Bumper,Para-choque Traseiro do T-Cross,"R$ 1.500,00",75
Tailgate,Tampa Traseira (porta-malas),"R$ 3.800,00",120
Tailgate Glass,Vidro da Tampa Traseira (vigia),"R$ 700,00",75
Torsion Beam Rear Suspension,Suspensão Traseira Eixo de Torção,"R$ 3.500,00",300
Undertray,Protetor de Cárter (Undertray),"R$ 350,00",23
Unibody,Monobloco (estrutura),"R$ 35.000,00",3600
Windshield,Para-brisa,"R$ 1.200,00",90
